CUSTOMER_ID,GENDER,AGE,ANNUAL_INCOME,SPENDING_SCORE,PROFESSION,WORK_EXPERIENCE,FAMILY_SIZE,SOURCE_EXTRACTION_TS,SOURCE
1,Male,19,15000,56,Executive,1,4,2025-08-29 11:12:46.335,CRM_CUSTOMER
2,Male,21,35000,81,Engineer,3,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
3,Female,20,86000,6,Engineer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
4,Female,23,59000,77,Lawyer,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
5,Female,31,38000,40,Entertainment,2,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
6,Female,22,58000,76,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
7,Female,35,31000,6,Healthcare,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
8,Female,23,84000,94,Healthcare,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
9,Male,64,97000,3,Engineer,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
10,Female,30,98000,72,Artist,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
11,Male,67,7000,14,Engineer,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
12,Female,35,93000,99,Healthcare,4,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
13,Female,58,80000,15,Executive,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
14,Female,24,91000,77,Lawyer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
15,Male,37,19000,13,Doctor,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
16,Male,22,51000,79,Healthcare,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
17,Female,35,29000,35,Homemaker,9,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
18,Male,20,89000,66,Healthcare,1,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
19,Male,52,20000,29,Entertainment,1,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
20,Female,35,62000,98,Artist,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
21,Male,35,96000,35,Homemaker,12,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
22,Male,25,4000,73,Healthcare,3,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
23,Female,46,42000,5,Artist,13,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
24,Male,31,71000,73,Artist,5,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
25,Female,54,67000,14,Executive,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
26,Male,29,52000,82,Artist,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
27,Female,45,68000,32,Healthcare,9,8,2025-08-29 10:35:14.635,CRM_CUSTOMER
28,Male,35,78000,61,Artist,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
29,Female,40,18000,31,Artist,0,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
30,Female,23,20000,87,Artist,5,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
31,Male,60,39000,4,Artist,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
32,Female,21,34000,73,Doctor,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
33,Male,53,59000,4,Healthcare,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
34,Male,18,62000,92,Homemaker,9,7,2025-08-29 10:35:14.635,CRM_CUSTOMER
35,Female,49,91000,14,Lawyer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
36,Female,21,95000,81,Healthcare,3,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
37,Female,42,14000,17,Doctor,5,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
38,Female,30,62000,73,Healthcare,1,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
39,Female,36,9000,26,Artist,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
40,Female,20,69000,75,Artist,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
41,Female,65,25000,35,Artist,4,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
42,Male,24,85000,92,Healthcare,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
43,Male,48,22000,36,Artist,14,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
44,Female,31,33000,61,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
45,Female,49,72000,28,Engineer,8,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
46,Female,24,3000,65,Lawyer,4,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
47,Female,50,52000,55,Artist,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
48,Female,27,71000,47,Healthcare,12,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
49,Female,29,78000,42,Healthcare,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
50,Female,31,25000,42,Engineer,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
51,Female,49,88000,52,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
52,Male,33,97000,60,Artist,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
53,Female,31,74000,54,Artist,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
54,Male,59,68000,60,Entertainment,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
55,Female,50,18000,45,Marketing,1,1,2025-08-29 10:35:14.635,CRM_CUSTOMER
56,Male,47,95000,41,Artist,14,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
57,Female,51,71000,50,Healthcare,9,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
58,Male,69,8000,46,Doctor,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
59,Female,27,57000,51,Artist,1,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
60,Male,53,89000,46,Lawyer,1,6,2025-08-29 10:35:14.635,CRM_CUSTOMER
61,Male,70,84000,56,Artist,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
62,Male,19,50000,55,Artist,9,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
63,Female,67,50000,52,Lawyer,0,3,2025-08-29 10:35:14.635,CRM_CUSTOMER
64,Female,54,48000,59,Lawyer,1,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
65,Male,63,63000,51,Lawyer,7,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
66,Male,18,9000,59,Entertainment,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
67,Female,43,3000,50,Doctor,0,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
68,Female,68,82000,48,Artist,8,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
69,Male,19,81000,59,Artist,0,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
70,Female,32,97000,47,Homemaker,2,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
71,Male,70,91000,55,Healthcare,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
72,Female,47,9000,42,Entertainment,8,2,2025-08-29 10:35:14.635,CRM_CUSTOMER
73,Female,60,44000,49,Artist,0,5,2025-08-29 10:35:14.635,CRM_CUSTOMER
74,Female,60,10000,56,Healthcare,8,4,2025-08-29 10:35:14.635,CRM_CUSTOMER
