CUSTOMER_ID,GENDER,AGE,ANNUAL_INCOME_INR,SPENDING_SCORE,PROFESSION,WORK_EXPERIENCE,FAMILY_SIZE,SOURCE,STG_LOAD_TS
1,Male,19,15000,56,Executive,1,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
2,Male,21,35000,81,Engineer,3,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
3,Female,20,86000,6,Engineer,1,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
4,Female,23,59000,77,Lawyer,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
5,Female,31,38000,40,Entertainment,2,6,CRM_CUSTOMER,2025-08-29 15:35:19.224
6,Female,22,58000,76,Artist,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
7,Female,35,31000,6,Healthcare,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
8,Female,23,84000,94,Healthcare,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
9,Male,64,97000,3,Engineer,0,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
10,Female,30,98000,72,Artist,1,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
11,Male,67,7000,14,Engineer,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
12,Female,35,93000,99,Healthcare,4,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
13,Female,58,80000,15,Executive,0,5,CRM_CUSTOMER,2025-08-29 15:35:19.224
14,Female,24,91000,77,Lawyer,1,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
15,Male,37,19000,13,Doctor,0,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
16,Male,22,51000,79,Healthcare,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
17,Female,35,29000,35,Homemaker,9,5,CRM_CUSTOMER,2025-08-29 15:35:19.224
18,Male,20,89000,66,Healthcare,1,6,CRM_CUSTOMER,2025-08-29 15:35:19.224
19,Male,52,20000,29,Entertainment,1,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
20,Female,35,62000,98,Artist,0,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
21,Male,35,96000,35,Homemaker,12,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
22,Male,25,4000,73,Healthcare,3,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
23,Female,46,42000,5,Artist,13,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
24,Male,31,71000,73,Artist,5,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
25,Female,54,67000,14,Executive,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
26,Male,29,52000,82,Artist,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
27,Female,45,68000,32,Healthcare,9,8,CRM_CUSTOMER,2025-08-29 15:35:19.224
28,Male,35,78000,61,Artist,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
29,Female,40,18000,31,Artist,0,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
30,Female,23,20000,87,Artist,5,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
31,Male,60,39000,4,Artist,0,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
32,Female,21,34000,73,Doctor,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
33,Male,53,59000,4,Healthcare,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
34,Male,18,62000,92,Homemaker,9,7,CRM_CUSTOMER,2025-08-29 15:35:19.224
35,Female,49,91000,14,Lawyer,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
36,Female,21,95000,81,Healthcare,3,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
37,Female,42,14000,17,Doctor,5,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
38,Female,30,62000,73,Healthcare,1,5,CRM_CUSTOMER,2025-08-29 15:35:19.224
39,Female,36,9000,26,Artist,8,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
40,Female,20,69000,75,Artist,8,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
41,Female,65,25000,35,Artist,4,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
42,Male,24,85000,92,Healthcare,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
43,Male,48,22000,36,Artist,14,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
44,Female,31,33000,61,Artist,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
45,Female,49,72000,28,Engineer,8,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
46,Female,24,3000,65,Lawyer,4,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
47,Female,50,52000,55,Artist,0,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
48,Female,27,71000,47,Healthcare,12,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
49,Female,29,78000,42,Healthcare,0,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
50,Female,31,25000,42,Engineer,1,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
51,Female,49,88000,52,Artist,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
52,Male,33,97000,60,Artist,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
53,Female,31,74000,54,Artist,1,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
54,Male,59,68000,60,Entertainment,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
55,Female,50,18000,45,Marketing,1,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
56,Male,47,95000,41,Artist,14,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
57,Female,51,71000,50,Healthcare,9,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
58,Male,69,8000,46,Doctor,8,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
59,Female,27,57000,51,Artist,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
60,Male,53,89000,46,Lawyer,1,6,CRM_CUSTOMER,2025-08-29 15:35:19.224
61,Male,70,84000,56,Artist,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
62,Male,19,50000,55,Artist,9,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
63,Female,67,50000,52,Lawyer,0,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
64,Female,54,48000,59,Lawyer,1,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
65,Male,63,63000,51,Lawyer,7,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
66,Male,18,9000,59,Entertainment,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
67,Female,43,3000,50,Doctor,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
68,Female,68,82000,48,Artist,8,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
69,Male,19,81000,59,Artist,0,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
70,Female,32,97000,47,Homemaker,2,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
71,Male,70,91000,55,Healthcare,8,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
72,Female,47,9000,42,Entertainment,8,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
73,Female,60,44000,49,Artist,0,5,CRM_CUSTOMER,2025-08-29 15:35:19.224
74,Female,60,10000,56,Healthcare,8,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
75,Male,59,89000,47,Artist,0,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
76,Male,26,49000,54,Homemaker,0,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
77,Female,45,67000,53,Doctor,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
78,Male,40,99000,48,Artist,4,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
79,Female,23,97000,52,Engineer,2,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
80,Female,49,98000,42,,1,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
81,Male,57,52000,51,Healthcare,0,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
82,Male,38,61000,55,Healthcare,6,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
83,Male,67,120000,41,Artist,8,1,CRM_CUSTOMER,2025-08-29 15:35:19.224
84,Female,46,34000,44,Entertainment,8,4,CRM_CUSTOMER,2025-08-29 15:35:19.224
85,Female,21,24000,57,Marketing,1,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
86,Male,48,31000,46,Healthcare,7,5,CRM_CUSTOMER,2025-08-29 15:35:19.224
87,Female,55,11000,58,Artist,0,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
88,Female,22,55000,55,Artist,5,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
89,Female,34,76000,60,Entertainment,7,3,CRM_CUSTOMER,2025-08-29 15:35:19.224
90,Female,50,56000,46,Doctor,0,2,CRM_CUSTOMER,2025-08-29 15:35:19.224
