PRODUCT_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,BRAND_NAME,PRODUCT_SIZES,PRICE,MRP,DISCOUNT_NAME,CATEGORY_NAME,SOURCE,STG_LOAD_TS
FR001,Cologne Fragrance,ekw eau de cologne 400 ml,4711,Small,3900,3120,50% off,Footwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW1,DRW1 - Westernwear-Women,womens v- neck short dress - yellow,109f,"Size:Medium,Small,X-Large,XX-Large",1899,569,70% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW2,DRW2 - Westernwear-Women,womens round neck solid top - black,109f,"Size:Large,Medium,Small,X-Large",1499,599,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW3,DRW3 - Westernwear-Women,womens round neck stripe shift dress - red,109f,"Size:Medium,Small",1599,639,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW4,DRW4 - Westernwear-Women,womens round neck solid high low top - black,109f,"Size:Large,Medium,Small,X-Large",1199,479,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW5,DRW5 - Westernwear-Women,womens v-neck solid top - black,109f,"Size:Large,Medium,Small,X-Small",1199,479,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW6,DRW6 - Westernwear-Women,womens off shoulder neck checked top - navy,109f,"Size:Small,X-Large",1299,519,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW7,DRW7 - Westernwear-Women,womens v neck checked top - black,109f,"Size:Large,Medium,Small",1499,599,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW8,DRW8 - Westernwear-Women,womens round neck solid shift dress - black,109f,Size:Medium,1799,719,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW9,DRW9 - Westernwear-Women,womens round neck solid top - black,109f,"Size:Large,Medium,X-Large,XX-Large",999,399,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW10,DRW10 - Westernwear-Women,womens spaghetti neck printed top - natural,109f,"Size:Large,Medium,Small,X-Large,XX-Large",1299,519,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW11,DRW11 - Westernwear-Women,womens round neck embroidered top - black,109f,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",2499,999,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW12,DRW12 - Westernwear-Women,womens mandarin collar solid eyelet skater dress - green,109f,"Size:X-Large,XX-Large",3499,1399,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW13,DRW13 - Westernwear-Women,womens off shoulder solid shift dress - blue,109f,"Size:Small,X-Small",1799,539,70% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW14,DRW14 - Westernwear-Women,womens round neck embroidered top - cream,109f,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1999,799,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW15,DRW15 - Westernwear-Women,womens 2 pocket solid pants - navy,109f,"Size:Small,X-Small",1899,759,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW16,DRW16 - Westernwear-Women,womens ruffled collar self printed top - natural,109f,"Size:Large,Medium,Small,X-Large,XX-Large",1499,599,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW17,DRW17 - Westernwear-Women,womens round neck solid top - birch,109f,Size:X-Small,1199,479,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW18,DRW18 - Westernwear-Women,womens round neck solid knee length dress - black,109f,Size:X-Small,1999,799,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW19,DRW19 - Westernwear-Women,womens scoop neck lace top - dark brown,109f,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799,719,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW20,DRW20 - Westernwear-Women,printed polyester cowl neck womens dress - multi,109f,"Size:Large,Medium,X-Large",2419,2199,10% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW21,DRW21 - Westernwear-Women,printed rayon round neck womens top - print,109f,"Size:Large,Medium,Small,X-Large,XX-Large",1869,1699,10% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW22,DRW22 - Westernwear-Women,womens round neck textured maxi dress - black,109f,"Size:Large,Small",2899,1159,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW23,DRW23 - Westernwear-Women,solid polyester halter neck womens top - olive,109f,"Size:Large,Medium,X-Large,XX-Large",1649,1499,10% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW24,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,109f,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",1979,1799,10% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW25,DRW25 - Westernwear-Women,womens 2 pocket solid trousers - green,109f,Size:X-Small,1499,599,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW26,DRW26 - Westernwear-Women,womens off shoulder neck embroidered top - blue,109f,"Size:Large,Medium,Small,X-Large,XX-Large",1499,599,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW27,DRW27 - Westernwear-Women,womens peter pan collar solid a-line dress - black,109f,Size:Small,2399,959,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW28,DRW28 - Westernwear-Women,womens embroidered casual skirt - grey,109f,"Size:Small,XX-Large",2499,999,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW29,DRW29 - Westernwear-Women,womens open front neck slub long shrug - grey,109f,Size:Small,1799,719,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW30,DRW30 - Westernwear-Women,womens mandarin collar striped long shirt - lime green,109f,Size:Small,1599,639,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW31,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,109f,"Size:Large,Medium,Small,XX-Large",1759,1599,10% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW32,DRW32 - Westernwear-Women,womens cold shoulder sleeves self pattern top - birch,109f,"Size:Large,Small,X-Large,XX-Large",2299,919,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW33,DRW33 - Westernwear-Women,womens strappy neck printed maxi dress - black,109f,"Size:Small,X-Small",2499,999,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW34,DRW34 - Westernwear-Women,printed polyester round neck womens sweatshirt - maroon,109f,"Size:Large,Medium,X-Large,XX-Large",2749,2499,10% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW35,DRW35 - Westernwear-Women,womens mandarin neck solid knee length dress - black,109f,"Size:Large,Medium,X-Large",2499,999,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW36,DRW36 - Westernwear-Women,womens round neck floral print tunic - yellow,109f,Size:Medium,1799,719,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW37,DRW37 - Westernwear-Women,womens off shoulder stripe embroidered top - red,109f,"Size:Large,Medium,Small",999,399,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
DRW38,DRW38 - Westernwear-Women,womens 5 pocket solid pants - navy,109f,"Size:Large,Medium,Small,X-Large,X-Small",2899,1159,60% off,Westernwear-Women,PIM_PRODUCTS,2025-08-29 15:35:19.114
