CUSTOMER_PROFESSION_HK,CUSTOMER_HK,DV_LOAD_DATETIME,DV_RECORD_SOURCE,PROFESSION,RISK_CATEGORY,ANNUAL_INCOME_INR,ANNUAL_INCOME_BUCKET,WORK_EXPERIENCE
,6FFBAE9AAFF664BD4739F51A6C7883A2C3CE74E9227A6AFF728D0D57AD56F234,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,186655,MEDIUM,7
,CED6F3C05E1DFEFA8455FA60AACDD2D76FFD79489B631C2DBDE22A74E927544B,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,51416,LOW,7
,E9EF91D2836A3D6A880C71604DDA2BC5CF97836539864EE1A7DA3221C3843DF7,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,122548,MEDIUM,2
,A486E5558353D0A590552EA5E0B0CCF4D2D9A1EA92D319B2AD5711E9BA10DEB1,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,164038,MEDIUM,5
,0F0B82FAE280AE9FEC1905F029B6EE9A9C85BB6CC5151DA6DAFE38A7902A4A53,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,78821,LOW,1
,0D866BA9F9FD0F2CBB2134DAF52356D2021A3686352D5C19D967305BF9E4BBDC,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,184838,MEDIUM,8
,E4E549408422875958476160732390DEFEFCAC7C2BD8353D918FE452D20DE2A6,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,114011,MEDIUM,5
,C8C817E80216CE409C63A735ACDD40FB7B023BCCA6E87B6FC89973C447B6A858,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,59905,LOW,7
,8AE4C23B80D1E7C8FF79E515FE791EBD68190BAE842DDA7AF193DB125F700452,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,36000,LOW,0
,47F6C8C4B34D11E58A4B8643EA77722600F0F2A2134C6B5558DE0B704A6EC9FB,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,147052,MEDIUM,9
,735E4A8AA7691B6D7E64836A10FAA46E2246AADB16ADDBF59DB7F7B0F45E6D19,2025-08-29 15:35:21.759,CRM_CUSTOMER,,UNKNOWN,97455,LOW,6
