CUSTOMER_SPENDING_BUCKET_HK,CUSTOMER_HK,DV_LOAD_DATETIME,DV_RECORD_SOURCE,SPENDING_SCORE,SPENDING_BUCKET
826DB128BD987B012EE29F77C14C1E32650AA4D589CB6F8BF5E20CBB257E94E6,6B86B273FF34FCE19D6B804EFF5A3F5747ADA4EAA22F1D49C01E52DDB7875B4B,2025-08-29 12:46:31.187,CRM_CUSTOMER,36,26-50
EAD4AC9FAFF72D246573BC2E546BF823735C473A65D39846BB9A02F691A1FDBC,D4735E3A265E16EEE03F59718B9B5D03019C07D8B6C51F90DA3A666EEC13AB35,2025-08-29 13:10:40.467,CRM_CUSTOMER,81,76-100
C135B1F8AF18C013A22BB5E03926235175691DB365DBAAFA71253177BD484A9A,4E07408562BEDB8B60CE05C1DECFE3AD16B72230967DE01F640B7E4729B49FCE,2025-08-29 13:10:40.467,CRM_CUSTOMER,6,00-25
ED777A3EDECC0C0FA74ECFF9AC0A74A426DE9B81DB53CD1AD7AEED6D0E1D864B,4B227777D4DD1FC61C6F884F48641D02B4D121D3FD328CB08B5531FCACDABF8A,2025-08-29 13:10:40.467,CRM_CUSTOMER,77,76-100
CBA74514B6FF5E0B485A923A2E5F80AB8714CBC5B5D3D077DC7714556DCF4C43,EF2D127DE37B942BAAD06145E54B0C619A1F22327B2EBBCFBEC78F5564AFE39D,2025-08-29 13:10:40.467,CRM_CUSTOMER,40,26-50
74D1D4B05A9CB718B0074FEFE9802EABD3FD429230E09997E804AC242C6408DF,E7F6C011776E8DB7CD330B54174FD76F7D0216B612387A5FFCFB81E6F0919683,2025-08-29 13:10:40.467,CRM_CUSTOMER,76,76-100
0FDD53F88DF3E458C8768BEF5D611B64B73A1C2B61DFD6FEC6926E5832950FF6,7902699BE42C8A8E46FBBB4501726517E86B22C56A189F7625A6DA49081B2451,2025-08-29 13:10:40.467,CRM_CUSTOMER,6,00-25
D7BD1C693C55D9817F41BD618BFAC7FA85DF738316555422F531F5337AEC3AB6,2C624232CDD221771294DFBB310ACA000A0DF6AC8B66B696D90EF06FDEFB64A3,2025-08-29 13:10:40.467,CRM_CUSTOMER,94,76-100
73D85F89666AB2F86ACE0A649897937C7A1597A41775C7FEBE8474689B8D1716,19581E27DE7CED00FF1CE50B2047E7A567C76B1CBAEBABE5EF03F7C3017BB5B7,2025-08-29 13:10:40.467,CRM_CUSTOMER,3,00-25
81AE028690C714103487FEBAFD60DE00E2C7FB095CBF7FFF43655E3C2747943A,4A44DC15364204A80FE80E9039455CC1608281820FE2B24F1E5233ADE6AF1DD5,2025-08-29 13:10:40.467,CRM_CUSTOMER,72,51-75
809447F953E463FA02AE4741F9F1EBCAAE883770E3CF4FB18BB51B41D5B4A02A,4FC82B26AECB47D2868C4EFBE3581732A3E7CBCC6C2EFB32062C08170A05EEB8,2025-08-29 13:10:40.467,CRM_CUSTOMER,14,00-25
280A803E9D8FFAED2541DFBA5ADF043158FD313747972DD0FD3B02D4D3BEC446,6B51D431DF5D7F141CBECECCF79EDF3DD861C3B4069F0B11661A3EEFACBBA918,2025-08-29 13:10:40.467,CRM_CUSTOMER,99,76-100
2E504B6F349583F7062B5F72E6C2DD6113DF9D9019DA1BC67022A3C0D0D810E7,3FDBA35F04DC8C462986C992BCF875546257113072A909C162F7E470E581E278,2025-08-29 13:10:40.467,CRM_CUSTOMER,15,00-25
A00EC30FAC62DD57EF715CD5F5CBD78B65ED5699366E50F317D9B0D1C81376F5,8527A891E224136950FF32CA212B45BC93F69FBB801C3B1EBEDAC52775F99E61,2025-08-29 13:10:40.467,CRM_CUSTOMER,77,76-100
BAE8AD8679701B1A95AD019E9F8BABA3335335600EF8D5576825AAB65D864DE6,E629FA6598D732768F7C726B4B621285F9C3B85303900AA912017DB7617D8BDB,2025-08-29 13:10:40.467,CRM_CUSTOMER,13,00-25
87B41D0254CBE9B43AB535682B47D0CB9CB1D1F516227A18111FE73B7147FDA9,B17EF6D19C7A5B1EE83B907C595526DCB1EB06DB8227D650D5DDA0A9F4CE8CD9,2025-08-29 13:10:40.467,CRM_CUSTOMER,79,76-100
FD1AF066844517CFD0FEF5CA46066485FF5B1646C342D2753F80EFC07D27B2A8,4523540F1504CD17100C4835E85B7EEFD49911580F8EFFF0599A8F283BE6B9E3,2025-08-29 13:10:40.467,CRM_CUSTOMER,35,26-50
4265FCDA1E99F7BD03F190265100FDE6C08C8E4B15F16515501C30B2C2FC6840,4EC9599FC203D176A301536C2E091A19BC852759B255BD6818810A42C5FED14A,2025-08-29 13:10:40.467,CRM_CUSTOMER,66,51-75
239FE85B019FE10548D8AECD485F18F903D8136FF08CEC50754A751DD124FFD9,9400F1B21CB527D7FA3D3EABBA93557A18EBE7A2CA4E471CFE5E4C5B4CA7F767,2025-08-29 13:10:40.467,CRM_CUSTOMER,29,26-50
852C3EC55C0F59B60834CD45C4133D040DAF80EA2DB984313BD86511709062DD,F5CA38F748A1D6EAF726B8A42FB575C3C71F1864A8143301782DE13DA2D9202B,2025-08-29 13:10:40.467,CRM_CUSTOMER,98,76-100
6EFAA0F7D9B2874F56E67F8D98A5938EC53510434F6DEAEFF4FA2ECDD23365D0,6F4B6612125FB3A0DAECD2799DFD6C9C299424FD920F9B308110A2C1FBD8F443,2025-08-29 13:10:40.467,CRM_CUSTOMER,35,26-50
5A1C7A492BBB42F34B8E56D2E21B19F90C5526BC19DE699721A47C70A1C74747,785F3EC7EB32F30B90CD0FCF3657D388B5FF4297F2F9716FF66E9B69C05DDD09,2025-08-29 13:10:40.467,CRM_CUSTOMER,73,51-75
8C3712FF78950115E53092E4A9A702CC853DBA2C89759B740097FF94E229AECD,535FA30D7E25DD8A49F1536779734EC8286108D115DA5045D77F3B4185D8F790,2025-08-29 13:10:40.467,CRM_CUSTOMER,5,00-25
022545234EEB30B26D3F51A5F972AD56A208CD74E8E5B258660E7110E4C8DF4F,C2356069E9D1E79CA924378153CFBBFB4D4416B1F99D41A2940BFDB66C5319DB,2025-08-29 13:10:40.467,CRM_CUSTOMER,73,51-75
9326079568B6154650CD6D53D83283933C587DE553810E5A69CB23E77B87D39A,B7A56873CD771F2C446D369B649430B65A756BA278FF97EC81BB6F55B2E73569,2025-08-29 13:10:40.467,CRM_CUSTOMER,14,00-25
