PRODUCT_HK,DV_LOAD_DATETIME,DV_RECORD_SOURCE,DV_HASH_DIFF,PRODUCT_ID,PRODUCT_NAME,PRODUCT_DESCRIPTION,PRODUCT_SIZES,BRAND_NAME
2CB4C8FD83D46458C90B5C596749B778AC6156402EDACAB59178722EFB2612A4,2025-08-29 15:35:22.187,PIM_PRODUCTS,88624085E953C1F434B376356DA4BD25CCA7844242D32EB894B5352C1A2F5298,DRW51,DRW51 - Westernwear-Women,womens round neck solid top - blush,Size:X-Large,109f
B3F451923F84F0E521C131D6D25E1529A21419EA8BE3DBAD4835A0090F9A0B41,2025-08-29 15:35:22.187,PIM_PRODUCTS,54FA0EB51A87DF6A137EC63661A891A471E09560F1904064F04A06D97F546BDF,DRW52,DRW52 - Westernwear-Women,womens tie up neck floral print top - black,"Size:Large,Medium,Small,X-Large,XX-Large",109f
A6E4DF35CCE15BC93ABA80BD30D882BF106C0CF4C295A8094B4FCFD3BEF8083B,2025-08-29 15:35:22.187,PIM_PRODUCTS,48BE50C42E4513D5F0CE24C8B172D4698B0F467EEEBD4F002E98B10C4906CFFF,DRW73,DRW73 - Westernwear-Women,womens off shoulder checked top - blue,"Size:Large,X-Large",109f
5161AD5E37FD2983D5585196E7329279E2733D85553DFDF8F074073E938DB069,2025-08-29 15:35:22.187,PIM_PRODUCTS,40218E056C76B9AF8FD9409FDB907C5EA8D3B46BBE576C47884434AE6C232A80,AARKE27,AARKE27 - Indianwear-Women,embroidered cotton blend round neck womens ethnic set - turquoise,"Size:Medium,Small,X-Large",aarke
08D2E1D16A76292D56C05BD32C3B8A6A308AB8EA05230460E070D42824F2310B,2025-08-29 15:35:22.187,PIM_PRODUCTS,6A69362AC408ED81EED7664DD1C0E7A4E0C466B91741709348E100D1902B2E21,DRW24,DRW24 - Westernwear-Women,womens tie up neck embroidered top - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large",109f
687E2758615CC4F8055A1E273496A606D9438F2285086FAD33B085B7FB237FD5,2025-08-29 15:35:22.187,PIM_PRODUCTS,3E893B01A41A5CE7A97604153946028E4A7D60FC146940936C3DAB7C33D2BAD1,DRW31,DRW31 - Westernwear-Women,stripes shirt collar rayon womens casual shirt - off white,"Size:Large,Medium,Small,XX-Large",109f
8609F5376740440308F12F46A777A0F0948F9C33A1342C2D758698899F53F889,2025-08-29 15:35:22.187,PIM_PRODUCTS,DF1BDE89B2492AD3931766343524494F44B4BCE97ECEC31276AFBA3B733A1B13,DRW47,DRW47 - Westernwear-Women,womens round neck solid top - natural,"Size:Large,X-Large",109f
B000CDA18B86A1ED9F51ADF3C59884B797C0E8C5B8182EBA1A414A1954578B46,2025-08-29 15:35:22.187,PIM_PRODUCTS,394DEB22014331DBE68167C93A679EEDE6281A08B4F7B327615D2ACB18A982FF,DRW53,DRW53 - Westernwear-Women,womens round neck slub embroidered peplum top - grey,"Size:Large,Small,X-Large,XX-Large",109f
1410D357CA0322169A9DF62C4A62057401504A488A295F7D2AC9678D52491C95,2025-08-29 15:35:22.187,PIM_PRODUCTS,8E6E56E48100620BB6F05B78769870BF79FB828CD07DBC8960EB0763C67D34FB,DRW63,DRW63 - Westernwear-Women,womens tie up neck solid top - cream,"Size:Large,Medium,X-Large,XX-Large,XXX-Large",109f
A5F7CFA1149BAB465A57B54B7DBEE2F0F1780408CDDC114DE0CC0F2D3491C274,2025-08-29 15:35:22.187,PIM_PRODUCTS,24C8F20256F56044E8C3FD74FE91CEA4E73354C764A50EE132D3202E732560BD,DRW110,DRW110 - Westernwear-Women,solid shirt collar regular fit womens casual shirt - olive,Size:X-Large,109f
